,Username,Posts per Day,Posts per Week,Posts per Month,Total Posts,Engagement Rate,Total Followers,Average User Activity,Influncer_bio
0,@yasmine_sabri,0.39,2.71,11.61,1.2k,0.92%,21.6m,61.22%,Bio I DreamInstagram Handle  @yasmine_sabriInstagram Followers  20.9M Get Email Contact
1,@hannahelzahed,0.15,1.04,4.44,1.2k,1.95%,20m,100.00%,Bio Le meilleur est à venir              Yarab 6 🕊🧿Instagram Handle  @hannahelzahedInstagram Followers  19.1M Get Email Contact
2,@hamaki,0.11,0.74,3.19,1.1k,0.65%,12.5m,43.36%,"Bio Best Middle Eastern Artist By MTV, BAMA.. Best Selling Middle Eastern Artist by EMI.. 1st Tour N Cure Ambassador in The Middle EastInstagram Handle  @hamakiInstagram Followers  12.3M Get Email Contact"
3,@sherine,0.02,0.14,0.58,627,1.51%,12.1m,100.00%,"Bio An Egyptian award winning, singer, actress, and a mother of two beautiful daughters.Instagram Handle  @sherineInstagram Followers  11.9M Get Email Contact"
4,@nellykarim_official,0.11,0.76,3.27,995,0.17%,7.8m,11.56%,Bio Multi-award-winning actress|@unmigration Ambassador|face of @jaegerlecoultre & @lazurde|prima ballerina|most importantly mother to 4 wonderful humansInstagram Handle  @nellykarim_officialInstagram Followers  7.8M Get Email Contact
5,@radwaelsherbiny,0.16,1.14,4.86,1.3k,0.85%,15.4m,56.54%,Bio Lifestyle TV presenter @CBCSofra#رضوى_الشربينيInstagram Handle  @radwaelsherbinyInstagram Followers  14.9M Get Email Contact
6,@ramezgalalac,0.04,0.28,1.20,1.3k,0.71%,12.6m,47.66%,Bio Egyptian Actorالبرومو الرسمي لبرنامج #رامز_نيفر_إند#RamezGalal #رامز_جلالInstagram Handle  @ramezgalalacInstagram Followers  12.6M Get Email Contact
7,@ahmadfahmy_official,0.10,0.71,3.03,613,1.13%,6.3m,75.25%,"Bio Egyptian Actor, WriterInstagram Handle  @ahmadfahmy_officialInstagram Followers  6M Get Email Contact"
8,@ahmedhas0san,0.04,0.26,1.10,90,0.11%,7m,7.08%,Bio - Youtuber +9M Subscribers - My Wife : @zenap_mohamed - My Kids : @ianhas0san @aileenhas0san - For Ads : ****@gmail.comInstagram Handle  @ahmedhas0sanInstagram Followers  7.2M Get Email Contact
9,@nesreentafesh,0.02,0.14,0.58,3.4k,0.33%,13m,22.04%,Bio Actress lightworker traveler 🌞💕 As above so below 💫وَجَعَلْنَا لَهُ نُورًا يَمْشِي بِهِ فِي النَّاسِInstagram Handle  @nesreentafeshInstagram Followers  12.4M Get Email Contact
10,@karimsobhyofficial,0.05,0.33,1.41,609,0.66%,66k,44.06%,Bio Actor/ tv presenter/ entrepreneurInstagram Handle  @karimsobhyofficialInstagram Followers  66.1K Get Email Contact
11,@entesarrefat,0.01,0.04,0.17,495,3.82%,46k,127.28%,"Bio Fashion Blogger👚|Fashion&Beauty,Egypt.👗| Hijab fashion addict,life style .👉| For inquires send DM.💌| entesarrefat@gmail#entygamila تابعي هاشتاجInstagram Handle  @entesarrefatInstagram Followers  46.5K Get Email Contact"
12,@mohamedbaba.official,0.13,0.93,4.00,2.6k,0.20%,46k,13.05%,Bio The Official Account Of The Singer Mohamed Babaللاستفسار 01116166511Instagram Handle  @mohamedbaba.officialInstagram Followers  48.8K Get Email Contact
13,@essamabuzeid,,,,32,,9.7k,,Bio 🇪🇬 147 IQ 🧠REAL LIFE QUICKSILVER⚡Not a winner by birth .. But a winner by choiceInstagram Handle  @essamabuzeidInstagram Followers  9.8K Get Email Contact
14,@aliamrfarag,0.06,0.43,1.85,404,3.81%,91.3k,127.05%,Bio 4x Squash World ChampionWorld #1UNICEF AmbassadorEgypt | Harvard | Dunlop | Wadi Degla | CIB | Etisalat | Open Squash | Sodic | Live Physio ClinicInstagram Handle  @aliamrfaragInstagram Followers  90.2K Get Email Contact
15,@mahmoud_j_slama,0.02,0.12,0.52,422,0.29%,46.6k,19.33%,Bio 🔺 Owner of : @hulkk_gym  🏢🌐 𝑶𝒏𝒍𝒊𝒏𝒆 𝑻𝒓𝒂𝒊𝒏𝒆𝒓 🏋️‍♀️📍 🇩🇿_🇪🇬🏡(وَجَعَلَنِي مُبَارَكًا أَيْنَ مَا كُنتُ)ولسوف ﮼يعيطك ﮼ربك ﮼فترضى♥️Instagram Handle  @mahmoud_j_slamaInstagram Followers  47.3K Get Email Contact
16,@hebaahmedibrahem,0.02,0.11,0.49,646,8.32%,325.9k,277.17%,"Bio •Painter / Fine artist 🎨,Egypt•Founder of @pastelsoul1•Video creatorInstagram Handle  @hebaahmedibrahemInstagram Followers  319.3K Get Email Contact"
17,@ameer_farag,0.36,2.55,10.91,1.1k,0.02%,44.4k,1.29%,Instagram Handle  @ameer_faragInstagram Followers  45.7K Get Email Contact
